Cover,Title,Author,Genre,Rating,Rating Count,Year,Pages
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,Charlotte's Web,E.B. White,"Classics, Fiction, Childrens, Fantasy, Young ",4.20,"1,772,427 ratings23,061 reviews","First published October 15, 1952","184 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890.jpg,Of Mice and Men,John Steinbeck,"Classics, Fiction, School, Historical , Fiction",3.88,"2,476,886 ratings50,106 reviews","First published February 25, 1937","107 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Science , Fiction, Fiction, Humor, Fantasy",4.23,"1,793,315 ratings43,258 reviews","First published October 12, 1979","216 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654371463i/18144590.jpg,The Alchemist,Paulo Coelho,"Fiction, Classics, Fantasy, Philosophy, Novels",3.90,"2,925,138 ratings115,233 reviews","First published January 1, 1988","182 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg,The Catcher in the Rye,J.D. Salinger,"Classics, Fiction, Young , Adult, Literature",3.80,"3,416,441 ratings81,551 reviews","First published July 16, 1951","234 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,Fahrenheit 451,Ray Bradbury,"Fiction, Science , Fiction, Dystopia, Classics",3.97,"2,316,516 ratings70,341 reviews","First published October 19, 1953","194 pages, Kindle Edition"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,Brave New World,Aldous Huxley,"Classics, Fiction, Science , Fiction, Dystopia",3.99,"1,799,818 ratings45,436 reviews","First published January 1, 1932","268 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg,One Hundred Years of Solitude,Gabriel García Márquez,"Fiction, Magical , Realism, Literature, Fantasy",4.11,"943,992 ratings43,811 reviews","First published May 1, 1967","417 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029.jpg,A Thousand Splendid Suns,Khaled Hosseini,"Fiction, Historical , Fiction, Contemporary, Historical",4.43,"1,482,051 ratings73,758 reviews","First published May 1, 2007","372 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684.jpg,The Time Traveler's Wife,Audrey Niffenegger,"Fiction, Romance, Fantasy, Time , Travel",3.99,"1,759,866 ratings52,775 reviews","First published January 1, 2003","537 pages, ebook"
